CHANGESET,COMMIT MESSAGE,HISTORY,DATE AND TIME
2347,Bug fixes and enhancements,Bryce Bartley,"Dec 30, 2016 at 2:49 AM"
2330,PRD setup,Bryce Bartley,"Dec 22, 2016 at 4:43 AM"
2313,time zone work,Bryce Bartley,"Dec 17, 2016 at 3:09 AM"
2305,add time zone info in partially,Bryce Bartley,"Dec 16, 2016 at 3:45 AM"
2289,added filter,Bryce Bartley,"Dec 10, 2016 at 3:23 AM"
2279,fix,Bryce Bartley,"Dec 9, 2016 at 3:53 AM"
2278,Bug fixes and messaging rewrite,Bryce Bartley,"Dec 9, 2016 at 2:10 AM"
2189,Bug fixes and report export,Bryce Bartley,"Nov 23, 2016 at 3:47 AM"
2177,Message bug fixes,Bryce Bartley,"Nov 18, 2016 at 1:44 AM"
2167,item messages,Bryce Bartley,"Nov 17, 2016 at 3:44 AM"
2161,Bug fixes,Bryce Bartley,"Nov 16, 2016 at 3:32 AM"
2157,QA publishing profiles,Bryce Bartley,"Nov 15, 2016 at 3:25 AM"
2143,Kiosk auto-login,Bryce Bartley,"Nov 10, 2016 at 12:30 AM"
2125,First pass at permissions,Bryce Bartley,"Nov 3, 2016 at 9:19 PM"
2113,bug fixes,Bryce Bartley,"Oct 27, 2016 at 1:05 AM"
2105,Import/Export Functions,Bryce Bartley,"Oct 22, 2016 at 1:23 AM"
2095,UX tweaks,Bryce Bartley,"Oct 18, 2016 at 1:50 AM"
2091,Work on messages,Bryce Bartley,"Oct 13, 2016 at 2:49 AM"
2086,Updated UI,Bryce Bartley,"Oct 11, 2016 at 11:38 PM"
2061,Work on staging kiosk and home page,Bryce Bartley,"Sep 29, 2016 at 2:49 AM"
2049,Work on maps,Bryce Bartley,"Sep 22, 2016 at 2:43 AM"
2031,Added order search page,Bryce Bartley,"Sep 14, 2016 at 11:06 PM"
2030,More stuff,Bryce Bartley,"Sep 14, 2016 at 9:18 PM"
2029,Massive check-in,Bryce Bartley,"Sep 14, 2016 at 1:35 AM"
1992,Second check-in,Bryce Bartley,"Aug 27, 2016 at 3:03 AM"
1951,Initial check in,Bryce Bartley,"Aug 12, 2016 at 3:02 AM"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
